MlsNumber,LivingArea,MunicipalTax,SchoolTax,LotAssessment,BuildingAssessment,Area
19804628,,4780.00,1000.00,,,"2,750 SF"
23354837,,7260.00,678.00,,,"2,750 SF"
22453734,"1,250 SF",4074.00,863.00,,,"2,750.18 SF"
19126289,"1,611.36 SF",10735.00,563.00,,,"2,750.18 SF"
16879110,,4030.00,854.00,,,"2,755 SF irr."
16597995,,2758.00,570.00,,,"2,758 SF irr."
21253208,,7874.00,1701.00,,,"2,762 SF"
23867522,"3,200 SF",12018.00,3028.00,,,"2,762 SF irr."
10644299,,3041.00,653.00,377200.00,853600.00,"2,762.00 Square Feet"
14274004,,8484.00,1821.00,,,"2,762.02 SF"
11232366,"2,000 SF",3310.00,703.00,,,"2,766 SF"
20947652,,5217.00,1097.00,,,"2,777 SF"
15657221,,3411.00,755.00,,,"2,790 SF"
20744844,,4248.00,782.00,,,"2,790 SF"
28093204,"1,800 SF",4371.00,904.00,,,"2,790 SF"
17250937,,5033.00,955.00,,,"2,790 SF"
9941908,,3649.00,775.00,,,"2,794 SF"
25371523,"1,181 Square Feet",2566.00,552.00,105100.00,228800.00,"2,794.00 Square Feet"
13165196,,4524.00,962.00,,,"2,797 SF"
18639987,,2577.00,567.00,,,"2,800 SF"
22960034,,2608.00,536.00,,,"2,800 SF"
12599870,,3569.00,660.00,,,"2,800 SF irr."
9446778,,4041.00,834.00,,,"2,801 SF"
9638855,,,,,,"2,801 SF"
9213778,,,,,,"2,802 SF"
9929494,928 SF,1691.00,345.00,,,"2,804 SF"
15194814,,2647.00,498.00,,,"2,804 SF"
26380648,,3628.00,669.00,,,"2,812 SF"
13118673,,2605.00,557.00,,,"2,812.5 SF"
13435585,,3485.00,726.00,,,"2,814 SF"
23940215,,1395.00,223.00,,,"2,814 SF irr."
28171558,"1,205.56 SF",2875.00,609.00,,,"2,815 SF"
21809917,,14052.00,1829.00,,,"2,815.84 SF irr."
11279396,,2930.00,616.00,,,"2,820 SF"
23225951,,3360.00,695.00,,,"2,820 SF"
23586542,"1,080 SF",3974.00,738.00,,,"2,821 SF"
27539423,,2890.00,569.00,,,"2,822 SF irr."
11234063,,969.00,201.00,,,"2,825 SF"
19320401,"1,100 SF",4944.00,1003.00,,,"2,825 SF"
16808058,,4431.00,941.00,,,"2,827.68 SF irr."
28972037,"2,660 Square Feet",3592.00,755.00,84600.00,285000.00,"2,829.00 Square Feet"
18466097,,3275.00,686.00,,,"2,835 SF"
20585330,"1,324 SF",3809.00,818.00,,,"2,835 SF"
11714098,755.63 SF,1075.00,227.00,,,"2,837.37 SF"
21982444,,4584.00,962.00,,,"2,839.52 SF"
10734158,,3832.00,814.00,,,"2,841.67 SF"
19541938,"1,926 SF",4120.00,873.00,,,"2,847 SF"
15309424,,2838.00,558.00,,,"2,848 SF"
15294349,,3136.00,665.00,,,"2,850 SF"
15767279,,3966.00,840.00,,,"2,850.28 SF"
21058652,,3686.00,780.00,,,"2,852.44 SF irr."
21669378,,4000.00,800.00,,,"2,856 SF"
14835085,"1,400 SF",1894.00,388.00,,,"2,857 SF"
23623373,,3889.00,875.00,,,"2,863.2 SF"
20975423,,3176.00,674.00,,,"2,865.35 SF"
10256097,740 SF,947.00,165.00,,,"2,874 SF"
10068936,,2096.00,434.00,,,"2,879 SF"
11059985,,2573.00,513.00,,,"2,880 SF"
20027071,"1,874 SF",3267.00,639.00,,,"2,880 SF"
11719221,854 SF,2118.00,455.00,,,"2,880.42 SF"
12370162,,4493.00,562.00,,,"2,882 SF irr."
23303257,,4080.00,844.00,,,"2,896 SF irr."
24520850,,2209.00,464.00,,,"2,900 SF"
16437382,"1,275 SF",2631.00,557.00,,,"2,900 SF"
19597499,,1090.00,340.00,,,"2,903.13 SF"
12434701,,3788.00,703.00,,,"2,907 SF"
18299771,,3334.00,619.00,,,"2,909 SF"
10323217,,3718.00,707.00,,,"2,912 SF"
24350624,,3563.00,744.00,,,"2,914 SF"
14475109,,23947.00,2234.00,,,"2,914 SF"
20865986,,2835.00,560.00,,,"2,919 SF"
17524751,600 SF,1005.00,213.00,,,"2,922 SF"
18710373,,3825.00,791.00,,,"2,922 SF irr."
24436425,,3311.00,630.00,,,"2,925 SF irr."
15537011,"1,838 Square Feet",3669.00,777.00,68000.00,395600.00,"2,927.80 Square Feet"
26101425,"3,240 SF",3891.00,805.00,,,"2,929 SF"
12091647,,3444.00,1235.00,,,"2,929 SF irr."
21105658,,5317.00,1142.00,,,"2,935 SF"
14659606,"2,014 SF",2045.00,423.00,,,"2,940 SF"
12569373,,1739.00,341.00,,,"2,945 SF"
12278622,"1,100 SF",1570.00,281.00,,,"2,946 SF"
11769362,"1,168 SF",2152.00,384.00,,,"2,946 SF"
21960521,,2672.00,504.00,,,"2,949 SF irr."
11942171,,3704.00,383.00,,,"2,956 SF"
10011142,,1598.00,314.00,,,"2,957 SF irr."
12040341,,2240.00,456.00,,,"2,960 SF"
28459578,,6560.00,1408.00,,,"2,960 SF"
26671934,"2,283 SF",3593.00,799.00,,,"2,960.08 SF"
25847576,"2,661 SF",4809.00,998.00,,,"2,962 SF"
21841412,,3806.00,307.00,,,"2,965.46 SF"
12715836,,3812.00,688.00,,,"2,968.69 SF irr."
15425576,,3427.00,762.00,,,"2,969.76 SF"
21599604,,3619.00,679.00,,,"2,976.22 SF"
10351046,,3282.00,679.00,,,"2,984.83 SF irr."
16078506,"3,510 SF",6900.00,1395.00,,,"2,990 SF"
28951171,"1,115 SF",1856.00,399.00,,,"2,992 SF"
12219939,,5018.00,734.00,,,"2,993 SF"
19730601,,3033.00,628.00,,,"2,996 SF"
18584190,"1,324 SF",2475.00,476.00,,,"2,997 SF"
26141549,,3860.00,816.00,156100.00,338800.00,"2,998.00 Square Feet"
13992761,,2560.00,503.00,,,"2,999.9 SF"
18112540,,4344.00,905.00,,,"2,999.9 SF"
24599547,,4721.00,1080.00,,,"20,019.8 SF irr."
22248042,,4104.00,869.00,,,"20,171.57 SF irr."
26037482,,5695.00,1900.00,,,"20,254 SF"
23581604,"2,200 SF",3946.00,1107.00,,,"20,415 SF irr."
24450650,1612 PC,2294.00,472.00,,,2000 PC
10953076,,4080.00,840.00,,,2000 PC
16145565,,8336.00,615.00,260100.00,106400.00,2000 piå_
11922696,,3490.00,718.00,,,2000 piå_
9787961,3780.0 Square Feet,4570.00,1002.00,131300.00,400000.00,2000.00 Square Feet
27620087,,1527.00,674.00,131000.00,272500.00,2000.00 Square Feet
18208196,,1043.00,215.00,,,2002 PC
21516005,,,,164700.00,522300.00,201 må_
24388268,139.5 MC,3288.00,679.00,,,201.99 MC
25485565,,36277.00,1976.00,,,20138 PC
23710042,2985.0 Square Feet,1.00,1.00,132400.00,371600.00,20171.00 Square Feet
12618102,,2305.00,513.00,,,202.06 MC
10255344,,2802.00,623.00,,,202.1 MC
20616000,,13683.00,777.00,151600.00,340000.00,202.10 Square Metres
28150429,,1068.00,140.00,,,202.2 MC
11481970,2080 PC,2656.00,547.00,,,2023 PC
11774117,2740 piå_,3305.00,345.00,94000.00,277700.00,2024 piå_
15475463,1500 PC,3415.00,706.00,,,2025 PC
10680638,2008.0 Square Feet,4280.00,886.00,148200.00,383200.00,203.00 Square Metres
19847861,,5201.00,581.00,103900.00,318400.00,2031.2 piå_
12114622,,3672.00,791.00,115700.00,326700.00,2037.00 Square Feet
26459908,,3592.00,752.00,99100.00,340200.00,204.29 Square metres
17748605,,2656.00,318.00,61300.00,94300.00,204.50 Square Metres
27780572,,12250.00,1617.00,,,204.7 MC
27969372,,3505.00,756.00,,,2049 PC
27101071,,4848.00,449.00,,,2050 PC
27848749,,3738.00,792.00,135900.00,309700.00,2050 piå_
10215216,,3208.00,680.00,135300.00,257600.00,2050.00 Square Feet
14441125,2800 PC,2786.00,549.00,,,2050.5 PC
16362247,1000 PC,1736.00,370.00,,,2051 PC
9633110,,5057.00,289.00,,,2058 PC
22301499,,1802.00,377.00,76800.00,129400.00,2058 piå_
18879414,,3261.00,669.00,76400.00,293200.00,206.60 Square Metres
28938606,,7192.00,1393.00,,,20600 PC
28076494,,2864.00,599.00,105600.00,222400.00,2066.00 Square Feet
18216497,,3633.00,751.00,,,207.4 MC
19080078,950 PC,3305.00,692.00,,,2075 PC
18306852,,2468.00,523.00,,,2079 PC
19184035,,2888.00,545.00,77300.00,212100.00,2079 piå_
15095478,1015 PC,3213.00,684.00,,,20790 PC
16886943,,5275.00,1117.00,,,208.1 MC
13164784,,2855.00,595.00,,,2080 PC
28709157,,3339.00,722.00,,,2082 PC
13448129,,4065.00,838.00,154700.00,353300.00,209 må_
28273443,,2710.00,530.00,,,209 MC
13919303,,3049.00,630.00,,,209 MC
22782982,,4357.00,870.00,,,209 MC
14099447,,2921.00,618.00,154700.00,219000.00,209.00 Square metres
26344737,312 Square metres,6431.00,337.00,54900.00,153000.00,209.00 Square metres
12161791,312 Square metres,7090.00,372.00,54900.00,172100.00,209.00 Square metres
9456143,627.1 Square Metres,23680.00,1330.00,175600.00,624500.00,209.02 Square Metres
26240314,,4301.00,911.00,154700.00,396000.00,209.02 Square Metres
12747757,,24611.00,1835.00,369600.00,741900.00,2094 piå_
23116814,,2900.00,630.00,155800.00,211100.00,2096.00 Square Feet
21840293,,12606.00,620.00,,,"21,282.4 SF irr."
25478474,"6,000 SF",19915.00,3976.00,,,"21,362 SF"
9137225,,7623.00,1837.00,,,"21,650 SF"
18478696,159.7 MC,4397.00,711.00,,,210.39 MC
9766396,,1933.00,407.00,,,210.7 MC
13986505,,3019.00,632.00,,,2100 PC
25306922,206.8 MC,3475.00,719.00,,,2100 PC
17550670,,2490.00,512.00,107800.00,224800.00,2102.00 Square Feet
16364688,,1413.00,296.00,,,2105 PC
10870273,,1927.00,827.00,,,211 PC
28545462,,949.00,4958.00,,,211.5 MC
18468251,,1826.00,378.00,,,211.8 MC
17410605,,2398.00,501.00,,,2110 PC
19658607,1328 PC,3059.00,521.00,,,2113 PC
10361815,2400 PC,,,,,2115 PC
23765857,2400 PC,,,,,2115 PC
12110454,2050 piå_,2985.00,617.00,,,2115 piå_
23249570,2600 PC,7142.00,1533.00,,,2116 PC
17311314,3518.7 PC,6203.00,1211.00,,,2116.2 MC
22083846,,2846.00,589.00,98400.00,230900.00,2117.00 Square Feet
23410731,,,,,,212.70 Square metres
16808846,3900 piå_,2687.00,537.00,37700.00,251300.00,2124 piå_
24856199,,2638.00,496.00,,,2125 PC
21040884,1814.0 Square Feet,3816.00,799.00,165800.00,307800.00,2125.00 Square Feet
15193682,,3380.00,713.00,,,2127 PC
15645651,3200 PC,7061.00,1516.00,,,2129 PC
27437223,,,,,,213.20 Square metres
11550341,,2978.00,627.00,,,2130 PC
18003053,,5123.00,855.00,164500.00,416000.00,2130.00 Square Feet
14182008,5049 PC,9745.00,1960.00,,,21348 PC
28463299,225.6 MC,5186.00,1066.00,,,214 MC
25116516,,3883.00,864.00,,,2146 PC
9448056,,3160.00,670.00,147800.00,249000.00,2147.5 piå_
23421363,2240 PC,3096.00,688.00,,,215.8 MC
11614694,,2902.00,644.00,,,215.9 MC
9769955,1302 PC,3474.00,746.00,,,215.9 MC
15368590,,14966.00,1200.00,,,215.9 MC
13005589,1125 PC,3122.00,695.00,,,2150 PC
25439516,,6066.00,1302.00,,,2150 PC
19664716,,7051.00,1445.00,,,2156 PC
11169634,,2559.00,569.00,,,216 MC
26385041,,2668.00,485.00,,,216 MC
22454801,2080.0 Square Feet,7080.00,672.00,45500.00,355300.00,216.00 Square Metres
24246284,1866 PC,3338.00,732.00,,,216.5 MC
25975469,,5131.00,593.00,,,2160 PC
25214365,,22564.00,1141.00,141400.00,513800.00,21600.00 Square Feet
21765881,2580 PC,,,,,2161 PC
16590747,2600 piå_,8075.00,1733.00,281300.00,638700.00,2163 piå_
23822637,2288 PC,3190.00,337.00,,,2168 PC
27290252,,3461.00,733.00,160600.00,300900.00,217 må_
18117845,,2931.00,616.00,,,217.2 MC
9938812,,13702.00,1106.00,107900.00,769100.00,2171.00 Square Feet
18891742,696 PC,1201.00,268.00,,,2175 PC
21373876,,1999.00,403.00,,,2175 PC
12249262,,2698.00,593.00,,,2175 PC
21389474,,2857.00,598.00,,,2175 PC
23356268,,5126.00,975.00,275100.00,383600.00,218.30 Square Metres
11946772,,3607.00,755.00,,,2185 PC
18767016,,1450.00,338.00,,,2188 PC
12415955,,47528.00,2460.00,952100.00,394500.00,2188.00 Square Metres
18205510,,6101.00,1356.00,,,219.5 MC
11126876,,1.00,1.00,,,219.6 MC
14758809,,6225.00,1483.00,,,"22,000 SF"
10596266,,2406.00,507.00,,,"22,444 SF irr."
21348219,,5272.00,1123.00,,,"22,625 SF irr."
12301145,,9049.00,910.00,,,"22,764 SF"
16400247,167 Square metres,3573.00,772.00,308000.00,178800.00,220.00 Square metres
17159996,111.04 Square Metres,3782.00,810.00,132100.00,353000.00,220.10 Square Metres
22072706,,23472.00,1284.00,338600.00,452600.00,220.60 Square metres
9593196,,3290.00,260.00,,,2200 PC
27161563,,3374.00,706.00,,,2200 PC
27183879,,4225.00,889.00,,,2200 PC
13030167,2200 piå_,3261.00,580.00,81100.00,333900.00,2200 piå_
13706831,5300 PC,21518.00,3497.00,,,22044 PC
13208073,,12576.00,2660.00,1048000.00,1300000.00,22050.00 Square Feet
12858080,2208 PC,5018.00,1075.00,,,2208 PC
19725145,,9265.00,1980.00,515100.00,687500.00,221.18 Square metres
23748557,,6619.00,1421.00,208900.00,653800.00,221.6 må_
27012517,,3635.00,736.00,,,221.6 MC
27883555,2200 PC,7950.00,1136.00,,,2212 PC
23918515,,31970.00,1580.00,,,2217.44 MC
23981717,1248 PC,1885.00,202.00,,,222.7 MC
18363212,90.4 MC,2456.00,505.00,,,222.8 MC
18404015,,1356.00,256.00,89200.00,51400.00,222.90 Square Metres
24344367,3000 PC,2653.00,1.00,,,2224 PC
15843325,,1188.00,252.00,189600.00,373200.00,223 må_
13466559,,3365.00,725.00,133800.00,293500.00,223.00 Square metres
10742781,,3949.00,852.00,133800.00,382500.00,223.00 Square metres
14754842,,3500.00,315.00,116000.00,75100.00,223.00 Square Metres
22603934,,3836.00,759.00,116000.00,368500.00,223.00 Square Metres
13245801,,2203.00,440.00,,,223.6 MC
23654676,,1627.00,330.00,,,224.3 MC
16393159,,6688.00,628.00,164000.00,197500.00,224.6 må_
26837879,,3366.00,749.00,,,2240 PC
27106539,,1.00,1.00,,,22465 PC
22209195,,2599.00,400.00,,,2247.5 PC
9186805,1250 PC,2437.00,483.00,,,2249 PC
13466341,,10240.00,1518.00,,,2249 PC
12143063,,2200.00,730.00,77300.00,166300.00,2249 piå_
15936619,,2747.00,537.00,,,2250 PC
10716843,,3406.00,721.00,,,2250 PC
25448081,1630 PC,7454.00,1320.00,,,2250 PC
21933032,1630 PC,7454.00,1320.00,,,2250 PC
28899860,1630 PC,7454.00,1320.00,,,2250 PC
28290807,2340 PC,,,,,2250 PC
22943147,1261.0 Square Feet,1.00,1.00,175600.00,573200.00,2250.00 Square Feet
23961842,,3900.00,729.00,83600.00,308600.00,2250.00 Square Feet
8529438,,4239.00,513.00,,,22500 PC
8608193,,6759.00,1270.00,,,2252.5 PC
25240016,,3936.00,1.00,,,2254 PC
24537399,,2925.00,603.00,100600.00,253500.00,2254 piå_
21119666,,5740.00,1231.00,190200.00,517400.00,22565.00 Square Feet
20554805,,4499.00,953.00,155500.00,409500.00,2263 piå_
28067922,,2941.00,607.00,,,2267 PC
27705934,2174.0 Square Feet,4219.00,890.00,96900.00,400200.00,2267.00 Square Feet
13152529,,3680.00,636.00,,,2268 PC
11025313,,2743.00,610.00,,,227.06 MC
17340056,,2990.00,639.00,,,227.3 MC
16485912,1242 PC,4035.00,869.00,,,2271 PC
11722479,,43243.00,2289.00,561400.00,549400.00,227601.00 Square Feet
17323194,,5695.00,1152.00,,,2277 PC
23246477,,3601.00,744.00,128100.00,323000.00,228.80 Square Feet
19839250,,2763.00,615.00,,,2281 PC
14291548,1345.3 PC,,,,,2282 PC
21827714,1118 PC,,,,,2282 PC
13397509,2005.1 Square Feet,3006.00,632.00,74200.00,278200.00,2287.00 Square Feet
27867105,,8405.00,1805.00,321300.00,774200.00,229.50 Square Metres
25908774,,3162.00,679.00,385900.00,39000.00,229.70 Square Metres
11328677,118 MC,2856.00,605.00,,,229.9 MC
14670757,,3424.00,704.00,,,2295.00 Square Feet
12767799,,4877.00,1290.00,,,"23,000 SF"
28947847,"7,625 SF",18700.00,3739.00,,,"23,422 SF"
18311112,,1.00,1.00,1.00,1.00,"23,900.00 Square Feet"
9163443,,3483.00,698.00,,,230.2 MC
18255587,,5000.00,1080.00,298800.00,398300.00,2308 piå_
10230562,,3135.00,664.00,,,231.5 MC
24601183,,1235.00,255.00,118000.00,315500.00,2310 piå_
13140210,96.9 MC,2256.00,455.00,,,2317 PC
11391222,,53294.00,7000.00,1031500.00,753400.00,2318.00 Square Metres
16087758,,3700.00,807.00,178400.00,316600.00,232.25 Square metres
22666402,92.7 MC,2361.00,484.00,,,232.3 MC
21261736,164.2 MC,2750.00,593.00,,,232.3 MC
18187799,,2676.00,553.00,,,232.3 SF
26133589,185.8 Square Metres,3298.00,699.00,166100.00,243700.00,232.30 Square Metres
23161273,,3239.00,670.00,,,232.30 Square metres
21409791,,2.00,2.00,51200.00,225600.00,232.4 må_
20393588,2240 PC,3544.00,788.00,,,2321 PC
18294715,2477 PC,3375.00,715.00,,,2322 PC
14671400,,3184.00,354.00,,,2324 PC
16767191,,2334.00,484.00,,,2325 PC
22503446,,2892.00,644.00,,,2325 PC
27431293,,,,,,2326.2 MC
21786596,6375 piå_,27469.00,1540.00,332500.00,615900.00,2330 piå_
10120032,,1335.00,283.00,130000.00,355600.00,2330.6 piå_
16470640,,25333.00,1808.00,,,2333 PC
16546759,,3340.00,710.00,,,2335 PC
17532485,,2907.00,615.00,,,2336 PC
11837545,,3091.00,656.00,,,2337 PC
27060955,2250 PC,3325.00,761.00,,,2337 PC
11504658,,3530.00,730.00,,,2337 PC
18940685,,4465.00,857.00,,,234 MC
26292409,,5116.00,1057.00,,,234.05 MC
22716587,1378 PC,3867.00,799.00,,,2340 PC
18514750,,4053.00,1592.00,,,2340 PC
23159487,2268 PC,4361.00,745.00,,,2343 PC
22647049,936 PC,1546.00,319.00,,,2349 PC
12081513,,5043.00,1056.00,197400.00,443900.00,235.00 Square Metres
26315702,,3067.00,603.00,149000.00,188300.00,235.30 Square metres
26449505,,1909.00,334.00,,,235.44 MC
26807191,1850.0 Square Feet,4023.00,864.00,123800.00,322800.00,235.76 Square Metres
9160069,1400 piå_,1817.00,384.00,156100.00,69900.00,2350 piå_
20732730,2426 PC,2906.00,617.00,,,2351 PC
26092782,1153 PC,1239.00,267.00,,,2353 PC
10782647,,3663.00,719.00,125900.00,300000.00,2356 piå_
24334669,176 Square metres,8250.00,1820.00,348200.00,754500.00,236.90 Square metres
13748309,,2069.00,418.00,,,2364 PC
14123884,,9366.00,958.00,,,23646 PC
16669886,,4040.00,855.00,83600.00,334600.00,2369 piå_
11689547,,4099.00,842.00,110100.00,345000.00,2369.3 piå_
14607497,1676.0 Square Feet,2412.00,458.00,73800.00,164600.00,237.92 Square Metres
10094386,1440 PC,3139.00,675.00,,,2374.5 PC
16651412,1892 PC,13333.00,686.00,,,2374.5 PC
22955112,1892 PC,13333.00,686.00,,,2374.5 PC
16619347,950 PC,1611.00,330.00,,,2378 PC
16878153,,2990.00,665.00,,,2378 PC
24145383,,2448.00,494.00,65500.00,219400.00,238.10 Square Metres
22794950,,3392.00,701.00,,,238.4 MC
25826192,2240 PC,3194.00,711.00,,,2380 PC
9425001,1892.0 Square Feet,2768.00,598.00,133000.00,235500.00,2385.00 Square Feet
9939677,,2778.00,574.00,88800.00,261200.00,2389 piå_
9990986,387.54 Square Metres,4755.00,984.00,143600.00,454700.00,239.18 Square Metres
18158727,,25003.00,1290.00,178000.00,584300.00,2394.00 Square Feet
25850419,1152 PC,3507.00,671.00,,,24 MC
22754971,"2,708 SF",3517.00,876.00,,,"24,247 SF irr."
23989296,,7572.00,1960.00,,,"24,588 SF"
13090395,911.7 SF,3173.00,680.00,,,"24,750.54 SF"
23913081,,,,,,"24,958 SF irr."
10227699,38 x 39 ft,30982.00,1717.00,350500.00,637600.00,24.83x28.45
10913469,38 x 39 ft,,,,,24.83x28.45
17235071,,,,,,240.70 Square metres
19542690,,2774.00,738.00,,,2400 PC
9432466,,3573.00,696.00,,,2400 PC
20850424,,3745.00,806.00,,,2400 PC
26751285,,6430.00,1291.00,,,2400 PC
14541623,,2389.00,470.00,55900.00,206900.00,2400.00 Square Feet
27067747,,3822.00,795.00,,,2402 PC
26251484,,4894.00,1049.00,,,241.2 MC
12971687,,1837.00,375.00,81300.00,139100.00,2410.00 Square Feet
22678140,,1509.00,313.00,89700.00,75900.00,2412 piå_
27338862,,9063.00,1873.00,,,2413 PC
16897134,3355 PC,28496.00,1516.00,,,2424 PC
11304857,,260.00,72.00,,,2426 PC
22988961,,5004.00,733.00,297400.00,119800.00,2429.60 Square Metres
22365887,,2889.00,604.00,,,243.2 MC
10271763,,1604.00,320.00,,,243.3 MC
11989951,,2593.00,430.00,,,243.9 MC
17741340,,3328.00,705.00,,,243.9 MC
9944975,,4086.00,865.00,,,243.9 MC
15922242,1990 PC,3579.00,740.00,,,2430 PC
25208375,2218 PC,3860.00,798.00,,,2433 PC
26922941,1400 PC,1958.00,340.00,,,2436 PC
10835133,,3703.00,766.00,,,244 MC
20943292,,4932.00,1037.00,,,2442 PC
21985071,,2240.00,425.00,90800.00,129800.00,245.40 Square metres
28052496,,3961.00,950.00,151100.00,338900.00,245.70 Square metres
16969743,,3775.00,788.00,,,245.9 MC
12632569,,2707.00,573.00,,,2450 PC
28275262,,3275.00,689.00,,,2450 PC
20140451,,3306.00,735.00,,,2460 PC
17607027,1738 PC,2309.00,475.00,,,2464 PC
18056776,4125 PC,3962.00,707.00,,,2466 PC
20423088,935.0 Square Feet,887.00,195.00,224700.00,491900.00,2466.00 Square Feet
14006363,992.0 Square Feet,943.00,207.00,224700.00,491900.00,2466.00 Square Feet
9104515,2800.0 Square Feet,1870.00,411.00,224700.00,491900.00,2466.00 Square Feet
17965046,,5810.00,415.00,133100.00,119900.00,2470 piå_
10568220,,3341.00,743.00,,,2472 PC
21842574,,3957.00,565.00,115000.00,191900.00,2474.00 Square Feet
14259734,,3715.00,752.00,48500.00,386300.00,248.80 Square metres
22211902,2466 PC,6166.00,1275.00,,,2488 PC
15792793,,5912.00,1273.00,149600.00,608700.00,249.26 Square metres
22721973,,5965.00,1180.00,87400.00,605100.00,249.80 Square metres
19116082,,23000.00,5000.00,,,"25,626 SF"
18677934,,6777.00,1441.00,,,"25,845.44 SF irr."
13826198,25.90 x 71.60 ft,14300.00,752.00,57700.00,381800.00,25.90x80.40
12363858,,1292.00,252.00,,,2500 PC
14886381,1405 PC,2918.00,594.00,,,2500 PC
25725211,,3105.00,631.00,,,2500 PC
13073391,1062 PC,3236.00,669.00,,,2500 PC
22188472,,4822.00,947.00,,,2500 PC
24641154,,22858.00,1686.00,,,2500 PC
10159505,,,,,,2500 PC
17689870,,,,,,2500 PC
9425290,,,,,,2500 PC
18108841,,5703.00,1170.00,356600.00,386700.00,2500 piå_
27622642,,2780.00,584.00,73200.00,249900.00,2500 piå_
17702695,1900.0 Square Feet,2800.00,579.00,139400.00,197100.00,2500.00 Square Feet
19181587,,4956.00,580.00,,,2501.5 PC
21022482,,1861.00,325.00,,,2512 PC
19417017,1500 PC,2246.00,465.00,,,2514 PC
16994782,,4342.00,942.00,147700.00,343500.00,252.00 Square Metres
11151675,,,,,,252.9 MC
13423909,,,,,,252.9 MC
18720645,,,,,,252.9 MC
9185560,,6691.00,2876.00,,,2520 PC
14289166,,3744.00,787.00,108600.00,316400.00,2520.00 Square Feet
12277550,,77401.00,3938.00,565200.00,1744200.00,2521.00 Square Feet
17553507,5922.0 Square Feet,7012.00,1418.00,141800.00,699500.00,2527.00 Square Feet
28653934,1088.0 Square Feet,1896.00,373.00,54300.00,157700.00,2533.00 Square Feet
9376423,1898.0 Square Feet,4110.00,600.00,164500.00,351500.00,254.80 Square Metres
16830748,,5156.00,672.00,242700.00,164000.00,255.00 Square Metres
16709934,,,,,,2550 PC
9282457,,3451.00,713.00,130300.00,280100.00,2550 piå_
28453942,206.3 Square Metres,3812.00,921.00,192000.00,351500.00,256.03 Square Metres
22247064,,6878.00,1111.00,,,256.2 MC
28901276,,3120.00,668.00,107700.00,292500.00,256.60 Square Metres
17157977,1228.0 Square Feet,2213.00,435.00,73600.00,165800.00,256.60 Square Metres
16438071,,4166.00,861.00,119100.00,365700.00,2563.00 Square Feet
15987730,,3997.00,857.00,146800.00,377000.00,257.60 Square Metres
15172030,,10318.00,2266.00,,,258.7 MC
10106278,,21192.00,2005.00,,,2580 PC
17214571,,4080.00,878.00,,,259 MC
23282269,,5033.00,955.00,,,259.2 MC
21773031,"2,150 Square Feet",8616.00,1196.00,162000.00,543600.00,259.20 Square metres
9967645,,4138.00,878.00,117400.00,374300.00,259.68 må_
12730820,,3539.00,672.00,94900.00,264100.00,2590 piå_
27915161,,7079.00,1391.00,577900.00,200800.00,25900 piå_
9935501,,2759.00,690.00,,,2592 PC
13601303,,4097.00,788.00,96400.00,381600.00,2592.00 Square Feet
28832352,3548 PC,1.00,1.00,,,2599 PC
15047608,,1643.00,512.00,141200.00,126100.00,25x76
22292791,,1867.00,399.00,,,"26,522.28 SF irr."
18282729,"5,000 Square Feet",14930.00,1710.00,259600.00,1436300.00,"26,610.00 Square Feet"
28918395,1519 PC,1930.00,450.00,,,260.28 MC
18961389,2361 PC,8748.00,1776.00,,,2600 PC
19964885,,5329.00,1123.00,,,2603.00 Square Feet
15322587,,4260.00,908.00,,,261.29 Square Metres
22031629,,2861.00,493.00,,,261.3 MC
15135878,,2889.00,474.00,,,261.3 MC
20326434,,2500.00,556.00,,,261.6 MC
11110124,,2405.00,497.00,,,2625 PC
20969814,,2409.00,550.00,,,2625 PC
18661546,,2920.00,604.00,,,2625 PC
22436466,,4415.00,907.00,,,2625 PC
18272027,,2340.00,497.00,154900.00,142500.00,2625.00 Square Feet
21798966,2350 PC,4778.00,1012.00,,,2627 PC
28242083,,3034.00,610.00,,,2629 PC
21704335,,4409.00,856.00,,,264.2 MC
23887530,156.8 Square Metres,2730.00,590.00,160400.00,156800.00,264.70 Square Metres
16290884,,3527.00,684.00,37300.00,338800.00,264.75 Square metres
21995477,,3300.00,638.00,92800.00,302800.00,2641.00 Square Feet
13252221,,4872.00,1004.00,,,2642.36 PC
26327343,2430 piå_,3490.00,712.00,95900.00,314700.00,2645 piå_
23164627,,3956.00,753.00,,,265.7 må_
12194360,,3008.00,615.00,,,2668 PC
28540777,,7239.00,1588.00,364700.00,835300.00,2669.00 Square Feet
17714129,,6347.00,1031.00,,,267 MC
16931922,,8154.00,1685.00,,,267 MC
28790252,,1898.00,391.00,,,267.8 MC
16649800,,3134.00,644.00,,,2673.75 PC
28156375,,2311.00,514.00,,,2678 PC
19369394,208 MC,3680.00,770.00,,,268 MC
18868841,1230 PC,3865.00,793.00,,,268.5 MC
12274697,,1.00,1.00,343100.00,,2683.00 Square Metres
25877906,2610 PC,,,,,2687.7 PC
17820511,,4370.00,961.00,,,2689 PC
17366720,,4232.00,790.00,107600.00,321200.00,269.00 Square metres
12052824,,6791.00,1462.00,,,269.4 MC
25357443,,6643.00,618.00,87800.00,259500.00,2690 piå_
9537726,,4296.00,885.00,178800.00,332800.00,2691 piå_
15965566,1430 PC,2886.00,642.00,,,2697.44 PC
26419490,5394.0 Square Feet,3110.00,654.00,65200.00,254600.00,2699.00 Square Feet
