"MlsNumber","LivingArea","YearBuilt","MunicipalTax","SchoolTax","CondoFees","HeatingEnergy","HeatingSystem","Proximity","SewageSystem","LotAssessment","BuildingAssessment","Pool","View","Garage","Parking","Zoning","Area","WaterSupply","LotDepth","LotFrontage","MunicipalAssessment","FloorCovering","Topography","Insurance"
"20582905","760 SF","ACONS",,,,"Electricity",,"Hospital, Bicycle path, Metro, Elementary school, Park, CEGEP, University, Public transportation, Highway","Municipality",,,,,,,,"N/A","Municipality",,,,,,
"20617820","1,015.04 SF","2010","$6,386.00","$1,402.00",,"Electricity",,"Highway, Metro, Public transportation, University, Hospital","Municipality",,,,,,"Garage : 1",,"N/A","Municipality",,,"$806,500.00",,,
"20640686",,"2008","$2,357.00","$496.00",,"Electricity",,"Public transportation, Hospital, Park, Commuter train, Elementary school, CEGEP, Golf, Bicycle path, High school, Metro","Municipality",,,,,"Single width, Heated, Built-in","Garage : 1",,"N/A","Municipality",,,"$299,800.00",,,
"20670765","845.0 Square Feet",,"$0.00","$0.00","$254.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,"Phase 2","View of the water, View of the mountain, View of the city",,,"RESI",,"Municipality",,,,,,
"20689952","1,060 SF","2013",,,,"Natural gas",,"Hospital, Bicycle path, Cross-country skiing, Commuter train, Metro, High school, Elementary school, Golf","Municipality",,,,,"Built-in, Single width, Heated","Garage : 1",,"N/A","Municipality",,,,,"Flat",
"20700413","631.0 Square Feet","2013","$1,962.00","$0.00","$167.00 Monthly",,,,"Municipality",,,,,,,"RESI",,"Municipality",,,,,,
"20706446",,"1964","$4,010.00","$760.00",,"Electricity",,"CEGEP, Elementary school, High school, Commuter train, Bicycle path, Public transportation, Park, Highway, Hospital","Municipality",,,,,"Built-in","Garage : 1, Driveway : 1","Residential","3,500 SF irr.","Municipality",,,"$434,800.00","Flexible floor coverings, Wood",,
"20723450","859.0 Square Feet",,"$4,066.00","$760.00","$221.00 Monthly",,"Hot water, Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,,,,,"RESI",,"Municipality",,,,,,
"20729338","914.0 Square Feet","2006","$2,912.00","$639.00","$224.00 Monthly","Electricity","Electric baseboard units.","Skate rink of Old Port, Swim. pool of Cégep du V.M, Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, Alpine skiing, High school, Commuter train, Public transportation, University","Municipality","$25,600.00","$330,400.00",,"Unto the small one-way street","Heated, Built-in, Single width","GarageGarage, License tag","RESI",,"Municipality",,,,,,
"20730098","1440.0 Square Feet","1989","$3,635.00","$769.00","$505.00 Monthly","Electricity","Electric baseboard units",,"Municipality","$51,600.00","$398,100.00","Heated, Inground, Indoor, Common spa","Panoramic, View of the city","Heated","Garage",,,"Municipality",,,,,,
"20759399","811.0 Square Feet","1925","$2,666.00","$546.00","$1.00 Monthly","Electricity","Electric baseboard units","Highway, Metro, Park, Elementary school, High school, Public transportation","Municipality","$96,500.00","$229,600.00",,,,,"RESI",,"Municipality",,,,,,
"20788814","726 SF","2011","$1,931.00","$419.00",,"Electricity",,"Hospital, Park, Elementary school, Public transportation, Bicycle path, High school, Metro","Municipality",,,,,,,,"N/A","Municipality",,,,,,
"20791470","597.0 Square Feet","2012","$0.00","$0.00","$160.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Elementary school, Alpine skiing, High school, Public transportation, University","Municipality",,,,,,"Garage","RESI",,"Municipality",,,,,,
"20799578",,"1960","8817$ (2014)","1830$ (2014)",,,,,"Municipal sewer",,,,,,,"Residential",,"Municipality",,,"1,084,900$",,,
"20804445","1750.0 Square Feet","1952","$5,677.00","$1,168.00",,"Electricity","Hot water","Highway, Hospital, Public transportation","Municipality","$247,600.00","$494,600.00",,,,"Driveway","RESI","291.30 Square Metres","Municipality",,,,,,
"20822205","1942.0 Square Feet","2003","$2,858.00","$603.00","$91.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Public transportation, University","Municipality","$57,100.00","$293,000.00",,,,,"RESI",,"Municipality",,,,,,
"20823355","1700.0 Square Feet","1978","$5,337.00","$1,187.00","1,117 Monthly","Electricity","Electric baseboard units",,"Municipality","$415,800.00","$259,400.00","Inground","View of the water","Double width or more","Garage","RESI","346.49 Square Metres","Municipality",,,,,,
"20827278",,"2010","1767$ (2014)","371$ (2014)",,,"Electric baseboard units","Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Public transport","Municipal sewer",,,,,"Fitted, Single width","Garage, (1 place)","Residential",,"Municipality",,,"205,600$",,,
"20834462","590.0 Square Feet",,"$2,649.00","$495.00","$140.00 Monthly",,"Hot water, Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,,,,,"RESI",,"Municipality",,,,,,
"20875389","865.0 Square Feet",,"$0.00","$0.00","$260.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,"Phase 2","View of the water, View of the mountain, View of the city",,,"RESI",,"Municipality",,,,,,
"20880128","930 SF","2007","$2,055.00","$399.00",,"Electricity",,"Highway, Bicycle path, High school, Public transportation, Elementary school, Park","Municipality",,,,,"Heated, Single width","Garage : 1Garage : 1",,"N/A","Municipality",,,"$207,500.00",,,
"20913744","1305.0 Square Feet","1988","$3,463.00","$755.00","$577.00 Monthly","Electricity","Electric baseboard units","Highway, Golf, Park, Bicycle path, Elementary school, Public transportation","Municipality",,,"Heated, Inground, Indoor, Common spa","Panoramic","Single width","Garage","RESI",,"Municipality",,,,,,
"20914191",,"2003","$5,276.00","$545.00",,"Electricity",,"Commuter train, Park, Bicycle path, High school, Highway, Public transportation, Elementary school","Municipality",,,"Inground",,"Double width or more","Garage : 4",,"7,708 SF","Municipality",,,"$666,300.00",,,
"20918019","1800.0 Square Feet","1900","$27,328.00","$1,565.00","$1.00 Monthly",,,"Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Commuter train, Public transportation, University","Municipality","$356,600.00","$638,500.00",,,,,"RESI",,"Municipality","30.0 Metre","7.0 Metre",,,,
"20926583",,"1929","$3,171.00","$539.00",,"Electricity",,"Bicycle path, Highway, Elementary school, Metro, Public transportation, Park","Municipality",,,,,,,"Residential","3,133.37 SF","Municipality",,,"$337,700.00","Ceramic, Wood, Tiles","Flat","$1,109.00"
"20947652",,"2010","$5,217.00","$1,097.00",,"Natural gas",,"Park, High school, Hospital, Cross-country skiing, Golf, Bicycle path, Highway, CEGEP, Metro, University, Commuter train, Elementary school, Public transportation","Municipality",,,,,"Heated, Attached, Double width or more","Garage : 2",,"2,777 SF","Municipality",,,"$644,500.00",,"Flat",
"20949969",,"1915","$2,305.00","$505.00",,"Electricity",,,"Municipality",,,,,,,"Residential","2,000 SF","Municipality",,,"$301,400.00",,,
"20964817",,"1951","3872$ (2014)","834$ (2014)",,,"Electric baseboard units","Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Tandem","Garage, (2 places), Outdoor, (1 place)","Residential",,"Municipality",,,"479,300$",,,
"20974693","900 SF","2014",,,,,,,"Municipality",,,,,,,,"1,905.21 SF irr.","Municipality",,,,,,
"20979965",,"1949","$18,795.00","$965.00",,"Electricity",,"Metro, Public transportation, Highway","Municipality",,,,,,,"Residential, Commercial","2,030 SF","Municipality",,,"$563,500.00",,,"$5,743.00"
"20993645","600 SF","1974","$1,679.00","$360.00",,"Natural gas",,"Hospital, High school, Public transportation, CEGEP, University, Elementary school, Park, Bicycle path, Metro, Highway","Municipality",,,"Inground, Heated, Indoor, Common spa",,,,,"N/A","Municipality",,,"$170,233.00",,,
"21000062","788 SF","1987","$1,738.00","$172.00",,"Electricity",,,"Municipality",,,,,,"Driveway : 1",,"N/A","Municipality",,,"$230,700.00",,,
"21034929",,"1983","$2,537.00","$525.00",,"Natural gas",,"Hospital, High school, Public transportation, Bicycle path, CEGEP, Elementary school, Metro, Highway, Park","Municipality",,,,,,"Driveway : 1",,"1,861.5 SF","Municipality",,,"$318,600.00",,,
"21036444","765 SF","1910","$2,064.00","$427.00",,"Electricity",,"Bicycle path, Public transportation, Highway, CEGEP, Hospital, Metro, High school, Cross-country skiing, Golf, Elementary school, Park","Municipality",,,,,,"Driveway : 1",,"N/A","Municipality",,,"$237,600.00",,,
"21040884","1814.0 Square Feet","1948","$3,816.00","$799.00",,"Electricity, Heating oil","Hot water, Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation","Municipality","$165,800.00","$307,800.00",,,,,"RESI","2125.00 Square Feet","Municipality","85.0 Feet","25.0 Feet",,,,
"21055041","1,135 SF","2002","$4,640.00","$996.00",,"Electricity",,"Public transportation, Metro, High school, Park, Bicycle path, tous les commerces de Mont-Royal, Elementary school, Hospital","Municipality",,,,"View of the mountain, Panoramic, View of the city",,"Driveway : 1Driveway : 1",,"N/A","Municipality",,,"$511,700.00",,,
"21090412",,"1959","$4,150.00","$870.00",,"Electricity",,"Hospital, Highway, Park, Metro, High school, Bicycle path, Public transportation","Municipality",,,,,"Single width","Garage : 1","Residential","3,150 SF","Municipality",,,"$471,900.00",,,
"21100200",,"1976","$6,561.00","$348.00",,,,,"Municipality",,,,,,"Driveway : 4","Commercial","N/A","Municipality",,,"$195,000.00",,,"$1,500.00"
"21118085","849 SF","1987","$2,072.00","$456.00",,"Electricity",,"Highway, Metro, Park, Commuter train, High school, Hospital, Bicycle path, CEGEP, Elementary school, Public transportation","Municipality",,,,,"Heated, Single width, Built-in","Garage : 1Garage : 1",,"N/A","Municipality",,,"$264,400.00",,,
"21134425","936 SF","ACONS",,,,"Electricity",,"Future Beach, Golf, Park, Commuter train, Elementary school, Bicycle path, Cross-country skiing","Municipality",,,,,"Available","Garage : 1",,"N/A","Municipality",,,,,"Flat",
"21142553","1059.8 Square Feet","2010","$2,293.00","$482.00","$155.00 Monthly","Electricity","Electric baseboard units","Highway, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation","Municipality","$53,467.00","$194,366.00",,,"Heated, Built-in, Single width","Garage","RESI",,"Municipality",,,,,,
"21153258","735.18 SF","2004","$2,454.00","$492.00",,"Electricity",,"CEGEP, University, Hospital, Highway, Metro, Public transportation, Elementary school, Park","Municipality",,,"Heated, Indoor, Inground",,,,,"N/A","Municipality",,,"$271,800.00",,,
"21167555","940.0 Square Feet","1964","$1.00","$1.00","$956.00 Monthly","Electricity",,"Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$1.00","$1.00","Heated, Indoor, Common spa",,,"Garage","RESI",,"Municipality",,,,,,
"21189508","1,000 SF","1994","$1,657.00","$335.00",,"Electricity",,"Public transportation, High school, Park, Elementary school, Bicycle path, Epicerie","Municipality",,,,,,,,"N/A","Municipality",,,"$168,500.00",,,
"21204338","855.0 Square Feet",,"$0.00","$0.00","$257.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,"Phase 2","View of the water, View of the mountain, View of the city",,,"RESI",,"Municipality",,,,,,
"21204423",,"1915","$2,758.00","$570.00",,"Electricity",,,"Municipality",,,,,,,"Residential","1,442.8 SF","Municipality",,,"$320,000.00",,,"$673.00"
"21246360","1,118 SF","2004","$1,941.00","$382.00",,"Electricity",,"Cross-country skiing, Public pool, arena, church, library, grocery store, Bicycle path, High school, Park, CEGEP, Public transportation, Highway, Elementary school, Golf","Municipality",,,,,"Built-in, Heated","Garage : 1Garage : 1",,"N/A","Municipality",,,"$212,300.00",,"Flat",
"21253208",,"1900","$7,874.00","$1,701.00",,"Electricity",,"High school, Bicycle path, Elementary school, Cross-country skiing, University, Parc du Mont-Royal, Universit� McGill, Arena Mccon, Park, Hospital, Public transportation","Municipality",,,,"Face au parc Jeanne-Mance, View of the mountain",,,"Residential","2,762 SF","Municipality",,,"$975,000.00","Wood",,"$3,663.00"
"21273439",,"1970","$2,322.00","$457.00",,"Electricity, Heating oil, Dual energy",,"Public transportation, Elementary school, High school, Park, Highway","Municipality",,,,,,"Driveway : 2",,"3,628 SF","Municipality",,,"$254,000.00",,,
"21287027",,"1968","$4,779.00","$1,016.00",,"Electricity",,"Elementary school, Public transportation, Highway, Park, Hospital, High school","Municipality",,,,,"Built-in, Double width or more","Driveway : 2, Garage : 2","Residential","3,780 SF","Municipality",,,"$555,700.00",,,
"21305711",,"1984","2320$ (2014)","456$ (2014)",,,"Electric baseboard units","Highway, Elementary school, High school, Park - green area, Public transport","Municipal sewer",,,,,,"Outdoor, (2 places)","Residential",,"Municipality",,,,,,
"21310299",,"INCO","$3,136.00","$605.00",,,,,"Municipality",,,,,"Single width, Heated","Garage : 1, Driveway : 1",,"N/A","Municipality",,,"$295,900.00",,,
"21331996","2395.0 Square Feet","1990","$5,084.00","$1,085.00","$630.00 Monthly","Electricity","Electric baseboard units","Adonis supermarket and Sami Fruit, Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$48,000.00","$625,000.00","Heated, Inground, Indoor, Common spa","View of the mountain, Panoramic, View of the city","Heated, Built-in","Driveway, Garage","RESI",,"Municipality",,,,,,
"21335060","732 SF","1983","$1,113.00","$219.00",,"Electricity",,"High school, Public transportation, CEGEP, Highway, Bicycle path, Elementary school, Park, Hospital","Municipality",,,,,,,,"N/A","Municipality",,,"$115,300.00",,"Flat",
"21345766","997 SF","1910","$1,585.00","$163.00",,"Electricity",,"High school, Bicycle path, Metro, Elementary school, Public transportation, Park, Highway","Municipality",,,,,,,,"1,875 SF","Municipality",,,"$198,000.00",,"Flat",
"21347076","692.0 Square Feet",,"$3,376.00","$631.00","$183.00 Monthly",,"Hot water, Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,,,,,"RESI",,"Municipality",,,,,,
"21368783","1200.0 Square Feet","2004","$3,861.00","$838.00","$440.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Public transportation, University","Municipality","$103,000.00","$376,200.00","Heated, Inground","on the gardens","Heated, Double width or more, Built-in","GarageGarage","RESI",,"Municipality",,,,,,
"21374009","655.0 Square Feet","2013","$0.00","$0.00","$200.00 Monthly",,,,"Municipality",,,,,"Attached","GarageGarage","RESI",,"Municipality",,,,,,
"21388402","856 SF","1989","$1,622.00","$348.00",,"Electricity",,"Highway, Elementary school, Public transportation, Park, CEGEP, Metro, Bicycle path, High school","Municipality",,,,,,,,"N/A","Municipality",,,"$199,200.00",,,
"21397808",,"1924","3969$ (2013)","840$ (2013)",,,"Electric baseboard units","High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential",,"Municipality",,,"472,700$",,,
"21414999",,"1910","$5,067.00","$1,088.00",,"Electricity",,,"Municipality",,,,,,,"Residential","2,480 SF","Municipality",,,"$651,100.00",,,
"21421145","850 SF","1961","$1,113.00","$254.00",,"Electricity",,"Elementary school, Bicycle path, Park, Highway, High school, University, Hospital, CEGEP, Public transportation, Metro","Municipality",,,,,,,,"N/A","Municipality",,,"$457,100.00",,,
"21439773",,"1976","$2,569.00","$524.00",,"Electricity, Dual energy, Natural gas",,"CEGEP, Golf, Hospital, Cross-country skiing, High school, Bicycle path, stores, bus, TRAIN, Commuter train, Park, Highway, Elementary school, Public transportation","Municipality",,,,,"Attached, Double width or more","Driveway : 4, Garage : 2",,"6,000 SF","Municipality",,,"$306,100.00",,,
"21470871","1,405 SF","ACONS",,,,"Electricity",,,"Municipality",,,,,"Double width or more, Built-in","Garage : 2",,"N/A","Municipality",,,,,"Flat",
"21486827",,"1920","$9,445.00","$1,276.00",,"Natural gas","Hot water","Highway, CEGEP, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Cross-country skiing, Commuter train, Public transportation, University","Municipality","$263,500.00","$510,000.00",,,,"Driveway",,"4538.00 Square Feet","Municipality","90.0 Feet","50.0 Feet",,,,
"21491589","870 SF","2007","$1,682.00","$346.00",,"Electricity",,"Park, Public transportation, Bicycle path, High school, Highway, Metro, Hospital, Elementary school","Municipality",,,,,"Built-in, Heated, Single width","Garage : 1",,"N/A","Municipality",,,"$204,600.00",,,
"21499065",,"1953","$3,199.00","$673.00",,"Electricity",,"CEGEP, Hospital, Elementary school, High school, Highway, Bicycle path, Golf, Public transportation, Park, Metro","Municipality",,,,,,,"Residential","2,249 SF","Municipality",,,"$361,800.00",,"Flat",
"21501828",,"1959","$7,686.00","$1,514.00",,"Dual energy, Electricity, Heating oil",,"Highway, CEGEP, Bicycle path, Park, Elementary school, High school, Hospital, Public transportation","Municipality",,,,"View of the water","Attached, Heated","Garage : 3, Driveway : 5",,"14,154.54 SF","Municipality",,,"$842,700.00",,"Sloped",
"21531934","800 SF","1977","$1,569.00","$331.00",,"Electricity",,"Hospital, Park, CEGEP, Public transportation, High school, Elementary school, Bicycle path, Highway, Metro, Commuter train","Municipality",,,"Common spa, Inground, Heated, Indoor","Panoramic",,,,"N/A","Municipality",,,"$185,700.00",,,
"21534557","901 SF","2006","$3,214.00","$699.00",,"Electricity",,,"Municipality",,,"Inground, Heated",,,"Garage : 1Garage : 1",,"N/A","Municipality",,,"$368,800.00",,,
"21541649","3,000 SF","1954","$4,509.00","$959.00",,,,"Public transportation, Elementary school, Highway, High school, Bicycle path, Metro","Municipality",,,,,"Detached","Garage : 1","Residential","4,350 SF","Municipality",,,"$500,000.00",,,
"21581600",,"1957","$16,800.00","$2,000.00",,,,,"Municipality",,,,,,,"Commercial, Residential","2,470.32 SF","Municipality",,,"$512,600.00",,,"$5,800.00"
"21594058","1277.0 Square Feet","1988","$1,572.00","$331.00","$1.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$23,600.00","$177,500.00",,"View of the water",,"DrivewayDriveway","RESI",,"Municipality",,,,,,
"21599604",,"1966","$3,619.00","$679.00",,"Electricity",,"Bicycle path, Public transportation, Elementary school, High school, Park","Municipality",,,,,"Built-in, Single width","Driveway : 1, Garage : 1","Residential","2,976.22 SF","Municipality",,,"$404,000.00",,,
"21604892","1,045 SF","ACONS",,,,"Electricity",,"Park, Cross-country skiing, Elementary school, Future Beach, Bicycle path, Golf, Commuter train","Municipality",,,,,"Available","Garage : 1",,"N/A","Municipality",,,,,"Flat",
"21610791","1062.0 Square Feet","2004","$2,808.00","$603.00","$397.00 Monthly","Electricity","Electric baseboard units","Highway, Golf, Park, Bicycle path, Elementary school, Public transportation","Municipality",,,"Heated, Inground, Indoor, Common spa","View of the water","Single width","Garage","RESI",,"Municipality",,,,,,
"21649985","962 SF","2013",,,,"Natural gas",,"Park, Golf, Hospital, Bicycle path, High school, Cross-country skiing, Highway, Commuter train, Public transportation, Elementary school","Municipality",,,,,"Heated, Single width, Built-in","Garage : 1",,"N/A","Municipality",,,,,"Flat",
"21664676","2000.0 Square Feet","1924","$6,096.00","$1,277.00","$1.00 Monthly","Electricity","Forced air","Other, Highway, Metro, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$312,100.00","$463,100.00",,,,,"RESI","371.60 Square Metres","Municipality","30.48 Metre","12.19 Metre",,,,
"21669378",,"1948","$4,000.00","$800.00",,"Electricity",,,"Municipality",,,,,,"Driveway : 2","Residential","2,856 SF","Municipality",,,"$472,500.00",,,
"21672683","839 SF","2013","$2,208.00","$468.00",,"Electricity",,"Bicycle path, CEGEP, High school, Park, Metro, Elementary school, Hospital, Public transportation","Municipality",,,,,"Single width, Built-in","Garage : 1Garage : 1",,"N/A","Municipality",,,"$277,000.00",,,
"21674131",,"1922","$3,337.00","$729.00",,"Electricity",,"Metro, Promenade Masson, CEGEP, Elementary school, Bicycle path, Highway, Hospital, Cross-country skiing, University, Park, High school, Golf, Public transportation","Municipality",,,,,"Detached","Garage : 1",,"1,800 SF","Municipality",,,"$427,200.00",,,
"21675059",,,"$1,439.00","$305.00","$156.00 Monthly","Electricity","Electric baseboard units","Other, Highway, Hospital, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$28,200.00","$104,500.00","Heated, Inground",,,"Driveway","RESI",,"Municipality",,,,,,
"21719540","950.0 Square Feet","1987","$1,890.00","$385.00","$1.00 Monthly","Electricity","Convection baseboards, Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Public transportation, University","Municipality","$419,500.00","$616,700.00",,,,,"RESI",,"Municipality",,,,,,
"21751250","912 SF","2010","$2,569.00","$515.00",,"Electricity",,"Elementary school, Park, Hospital, High school, Bicycle path, Public transportation, Highway","Municipality",,,,"View of the water","Built-in, Single width","Garage : 1",,"N/A","Municipality",,,"$274,700.00",,"Flat",
"21771386","1,237 SF","1989","$2,497.00","$518.00",,"Electricity",,"Hospital, Metro, Park, Golf, Highway, Public transportation, Cross-country skiing, CEGEP, Bicycle path, High school, Elementary school","Municipality",,,"Indoor, Inground, Heated, Common spa","Panoramic, View of the city, Bois�","Heated","Garage : 1Garage : 1",,"N/A","Municipality",,,"$308,700.00",,,
"21780596",,"1974","$2,145.00","$422.00",,"Electricity",,"Public transportation, Golf, High school, Elementary school, Hospital, Park, Highway, CEGEP","Municipality",,,,,"Single width, Built-in","Driveway : 1, Garage : 1",,"1,943 SF","Municipality",,,"$236,000.00",,,
"21802796","1,086 SF","1971","$1,739.00","$341.00",,"Electricity",,"Highway, Elementary school, High school, Bicycle path, Commuter train, Park, Public transportation, Pr�s nouveau train pr�vu d�c.2014, CEGEP","Municipality",,,,,,"Driveway : 1",,"1,733 SF","Municipality",,,"$193,500.00",,"Flat",
"21805693",,"1910","$2,969.00","$629.00",,"Electricity",,"Hospital, Elementary school, High school, Highway, Bicycle path, Metro, Park, Public transportation","Municipality",,,,,,,"Residential","2,200 SF","Municipality",,,"$372,900.00","Wood","Flat",
"21814983","977.36 SF","2008","$2,058.00","$453.00",,"Electricity",,"Bicycle path, Park, Elementary school, Public transportation, Highway, High school, Hospital, CEGEP","Municipality",,,,"View of the mountain, Panoramic, View of the city","Rangement- 4 117 091, Built-in, Heated","Garage : 1Garage : 1",,"28,858.04 SF","Municipality",,,"$220,600.00",,"Flat",
"21817373",,"1949","$4,588.00","$953.00",,"Electricity",,"Bicycle path, Highway, Elementary school, Park, Metro, Public transportation, High school","Municipality",,,,,"Single width, Built-in, Heated","Driveway : 10, Garage : 1","Residential, Commercial","6,332 SF","Municipality",,,"$531,000.00","Wood, Ceramic, Laminate floor","Flat",
"21827048","900.0 Square Feet",,"$0.00","$0.00","$270.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,"Phase 2","View of the water, View of the mountain, View of the city",,,"RESI",,"Municipality",,,,,,
"21838347",,"1986","$6,426.00","$1,160.00",,"Electricity","Forced air","Highway, Hospital, Park, High school, Public transportation","Municipality","$192,700.00","$526,100.00","Inground",,"Double width or more","Driveway, Garage","RESI","6911.00 Square Feet","Municipality","100.0 Feet","70.0 Feet",,,,
"21841465",,"1976","$6,553.00","$1,393.00",,"Electricity",,"Public transportation, Park, High school, Elementary school, Highway","Municipality",,,,,"Built-in, Single width","Driveway : 3, Garage : 1","Residential","6,399 SF","Municipality",,,"$784,100.00",,,
"21842574",,"1948","$3,957.00","$565.00",,"Heating oil","Hot water","Highway, CEGEP, Golf, Hospital, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality","$115,000.00","$191,900.00",,,,,"RESI","2474.00 Square Feet","Municipality",,,,,,
"21863589","960.0 Square Feet",,"$0.00","$0.00","$288.00 Monthly","Electricity","Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,"Phase 2","View of the water, View of the mountain, View of the city",,,"RESI",,"Municipality",,,,,,
"21865061","1045.0 Square Feet","2009","$2,385.00","$494.00","$145.00 Monthly","Electricity",,"Highway, Hospital, Metro, Park, Bicycle path, Elementary school, Public transportation","Municipality","$31,700.00","$256,300.00",,"View of the mountain, View of the city",,,"RESI",,"Municipality",,,,,,
"21880354","1,278 Square Feet","2014",,,"$3,264","Electricity","Electric baseboard units","Public transport","Municipal sewer",,,"Inground",,"Heated, Pool","Garage","Residential",,,,,,,,
"21885656",,"1991","$2,042.00","$401.00",,"Electricity",,"Park, High school, Elementary school, Public transportation, Highway","Municipality",,,,,"Built-in, Single width","Garage : 1, Driveway : 1",,"1,951 SF","Municipality",,,"$224,600.00",,,
"21890077","52.5 Square Metres","1910","$1,203.00","$480.00","$100.00 Monthly","Electricity","Convection baseboards, Electric baseboard units","CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Public transportation","Municipality","$43,600.00","$189,100.00",,,,,"RESI",,"Municipality",,,,,,
"21904161","1,212 SF","2000","$3,139.00","$658.00",,"Electricity",,"High school, Hospital, CEGEP, Metro, Highway, Elementary school, Park, Public transportation, Commuter train, Bicycle path","Municipality",,,"Heated, Inground","Panoramic, Vue directe sur le Parc Jarry","Heated, Single width","Garage : 1",,"N/A","Municipality",,,"$387,700.00",,,
"21909787",,"1968","$3,400.00","$643.00",,"Dual energy",,"High school, Highway, Public transportation, Bicycle path, Elementary school","Municipality",,,"Inground",,"Single width, Built-in","Garage : 1",,"6,939 SF irr.","Municipality",,,"$358,000.00",,,
"21917633","1045.0 Square Feet","1981","$2,159.00","$457.00","$532.00 Monthly","Electricity","Electric baseboard units","Highway, Golf, Park, Bicycle path, Elementary school, Public transportation","Municipality","$72,200.00","$182,100.00","Heated, Inground","View of the water","Single width","Garage",,,"Municipality",,,,,,
"21953483",,,"$","$",,,,"Highway, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,,,"Municipality",,,,,,
"21958377",,"1913","$3,832.00","$774.00",,"Electricity",,,"Municipality",,,,,,,"Residential","1,224.93 SF irr.","Municipality",,,"$480,400.00",,,
"21959343",,"1946","$3,582.00","$759.00",,"Electricity",,,"Municipality",,,,,"Heated, Single width","Driveway : 1, Garage : 1","Residential","2,014 SF","Municipality",,,"$427,000.00",,,"$1,142.00"
"21972681",,"1962","$15,337.00","$3,450.00",,"Electricity","Forced air",,"Municipality","$908,700.00","$1,243,500.00","Heated, Inground",,"Attached, Double width or more, Built-in","Driveway, Garage","RESI","917.90 Square Metres","Municipality, With water meter","39.62 Metre","23.16 Metre",,,,
"21976108","754 Square Feet","2014",,,"$2,232","Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer",,,"Inground",,"Heated, Attached, Pool","Garage","Residential",,,,,,,,
"21977226","933 SF","2014",,,,,,,"Municipality",,,,,,,,"1,905.21 SF irr.","Municipality",,,,,,
"21979480","895 SF","1910","$2,420.00","$532.00",,"Electricity",,"Hospital, University, Public transportation, Park, Bicycle path, Metro, Elementary school, Highway, CEGEP, High school","Municipality",,,,,,"Driveway : 1",,"N/A","Municipality",,,"$299,000.00",,,
"22008887","355.0 Square Feet",,"$1,660.00","$310.00","$86.00 Monthly",,"Hot water, Electric baseboard units","Highway, CEGEP, Hospital, Metro, Park, Bicycle path, Elementary school, High school, Commuter train, Public transportation, University","Municipality",,,,,,,"RESI",,"Municipality",,,,,,
